id,trial,cond,prob,ea1,ea2,ea3,ea4,focal,support1,support2,support3,support4,support5,support6,age,gender,GamesWeek,GamesSeason,SportsNews,ea,strength
34,1,distributional,.60000002,6,4,5,4,Grizzlies,80,65,100,85,80,60,25,1,4,50,10,-.75,.20763937
34,2,distributional,.60000002,6,4,5,4,Grizzlies,80,65,100,85,80,60,25,1,4,50,10,-.75,.28768209
34,3,distributional,.55000001,6,4,5,4,Grizzlies,80,65,100,85,80,60,25,1,4,50,10,-.75,.16251893
35,1,singular,.15000001,2,4,4,5,Clippers,80,50,100,70,50,50,26,1,6,50,20,.75,-.47000363
35,2,singular,.55000001,2,4,4,5,Clippers,80,50,100,70,50,50,26,1,6,50,20,.75,0
35,3,singular,.60000002,2,4,4,5,Grizzlies,80,50,100,70,50,50,26,1,6,50,20,.75,.35667494
36,1,distributional,.55000001,5,5,5,6,Grizzlies,90,85,100,95,88,82,31,1,2,30,7,.25,.057158414
36,2,distributional,.47,5,5,5,6,Clippers,90,85,100,95,88,82,31,1,2,30,7,.25,-.070617564
36,3,distributional,.51999998,5,5,5,6,Grizzlies,90,85,100,95,88,82,31,1,2,30,7,.25,.051293295
37,1,distributional,.5,2,4,2,3,Grizzlies,100,70,98,94,85,65,30,1,4,90,10,.75,.35667494
37,2,distributional,.5,2,4,2,3,Clippers,100,70,98,94,85,65,30,1,4,90,10,.75,-.268264
37,3,distributional,.5,2,4,2,3,Clippers,100,70,98,94,85,65,30,1,4,90,10,.75,-.041672695
38,1,distributional,.34999999,3,5,3,4,Clippers,80,65,100,70,85,50,29,1,4,70,16,.75,-.20763937
38,2,distributional,.2,3,5,3,4,Clippers,80,65,100,70,85,50,29,1,4,70,16,.75,-.53062826
38,3,distributional,.80000001,3,5,3,4,Grizzlies,80,65,100,70,85,50,29,1,4,70,16,.75,.35667494
39,1,distributional,.69999999,7,1,3,3,Grizzlies,85,50,100,85,90,40,34,1,2,40,10,-1.5,.53062826
39,2,distributional,.2,7,1,3,3,Clippers,85,50,100,85,90,40,34,1,2,40,10,-1.5,-.81093019
39,3,distributional,.5,7,1,3,3,Grizzlies,85,50,100,85,90,40,34,1,2,40,10,-1.5,.16251893
40,1,distributional,.64999998,4,2,4,4,Grizzlies,85,69,100,90,80,75,36,1,4,60,5,-.5,.20854475
40,2,distributional,.72000003,4,2,4,4,Grizzlies,85,69,100,90,80,75,36,1,4,60,5,-.5,.064538524
40,3,distributional,.5,4,2,4,4,Clippers,85,69,100,90,80,75,36,1,4,60,5,-.5,-.10536052
41,1,distributional,.34999999,3,3,3,1,Clippers,85,40,100,75,60,50,33,1,3,20,20,-.5,-.75377178
41,2,distributional,.75,3,3,3,1,Grizzlies,85,40,100,75,60,50,33,1,3,20,20,-.5,.18232156
41,3,distributional,.60000002,3,3,3,1,Grizzlies,85,40,100,75,60,50,33,1,3,20,20,-.5,.28768209
42,1,distributional,.69999999,3,4,2,5,Grizzlies,90,50,100,90,70,50,39,1,5,80,20,1,.58778667
42,2,distributional,.60000002,3,4,2,5,Clippers,90,50,100,90,70,50,39,1,5,80,20,1,-.33647224
42,3,distributional,.69999999,3,4,2,5,Grizzlies,90,50,100,90,70,50,39,1,5,80,20,1,.10536052
43,1,distributional,.55000001,6,2,5,6,Grizzlies,98,80,100,98,90,80,36,1,3,50,20,-.75,.20294084
43,2,distributional,.5,6,2,5,6,Grizzlies,98,80,100,98,90,80,36,1,3,50,20,-.75,.11778303
43,3,distributional,.49000001,6,2,5,6,Clippers,98,80,100,98,90,80,36,1,3,50,20,-.75,-.020202707
44,1,distributional,.55000001,7,2,6,5,Grizzlies,84,68,100,85,83,70,41,1,7,50,20,-1.5,.21130909
44,2,distributional,.46000001,7,2,6,5,Clippers,84,68,100,85,83,70,41,1,7,50,20,-1.5,-.17034537
44,3,distributional,.5,7,2,6,5,Grizzlies,84,68,100,85,83,70,41,1,7,50,20,-1.5,.16251893
45,1,singular,.30000001,5,2,5,3,Clippers,100,65,90,80,90,40,34,1,3,40,15,-1.25,-.43078291
45,2,singular,.69999999,5,2,5,3,Grizzlies,100,65,90,80,90,40,34,1,3,40,15,-1.25,.81093019
45,3,singular,.40000001,5,2,5,3,Clippers,100,65,90,80,90,40,34,1,3,40,15,-1.25,-.11778303
46,1,singular,.75,3,5,3,3,Grizzlies,95,50,100,78,85,60,21,1,2,30,4,.5,.64185387
46,2,singular,.60000002,3,5,3,3,Grizzlies,95,50,100,78,85,60,21,1,2,30,4,.5,.34830669
46,3,singular,.69999999,3,5,3,3,Grizzlies,95,50,100,78,85,60,21,1,2,30,4,.5,.24846137
47,1,distributional,.55000001,5,6,2,6,Grizzlies,75,50,100,70,85,60,22,1,2.5,40,10,1.25,.4054651
47,2,distributional,.64999998,5,6,2,6,Grizzlies,75,50,100,70,85,60,22,1,2.5,40,10,1.25,.34830669
47,3,distributional,.2,5,6,2,6,Clippers,75,50,100,70,85,60,22,1,2.5,40,10,1.25,-.35667494
48,1,singular,.56,3,5,5,3,Grizzlies,80,38,100,75,84,42,33,1,6,60,10,0,.7444405
48,2,singular,.25,3,5,5,3,Clippers,80,38,100,75,84,42,33,1,6,60,10,0,-.69314718
48,3,singular,.43000001,3,5,5,3,Clippers,80,38,100,75,84,42,33,1,6,60,10,0,-.28768209
49,1,singular,.25,,,,,Clippers,80,25,100,70,60,20,29,1,3,35,4,,-1.1631508
49,2,singular,.34999999,,,,,Clippers,80,25,100,70,60,20,29,1,3,35,4,,-1.0986123
49,3,singular,.30000001,,,,,Clippers,80,25,100,70,60,20,29,1,3,35,4,,-.35667494
50,1,singular,.60000002,2,5,3,4,Clippers,100,85,99,95,90,70,32,1,3,20,15,1,-.16251893
50,2,singular,.75,2,5,3,4,Grizzlies,100,85,99,95,90,70,32,1,3,20,15,1,.25131443
50,3,singular,.5,2,5,3,4,Grizzlies,100,85,99,95,90,70,32,1,3,20,15,1,.041242957
51,1,singular,.55000001,3,5,2,6,Grizzlies,90,75,100,95,85,75,50,1,3,50,3,1.5,.18232156
51,2,singular,.44,3,5,2,6,Clippers,90,75,100,95,85,75,50,1,3,50,3,1.5,-.12516314
51,3,singular,.47999999,3,5,2,6,Clippers,90,75,100,95,85,75,50,1,3,50,3,1.5,-.051293295
52,1,distributional,.69999999,1,4,3,5,Grizzlies,100,40,99,80,90,30,32,1,2,20,12,1.25,.91629076
52,2,distributional,.2,1,4,3,5,Clippers,100,40,99,80,90,30,32,1,2,20,12,1.25,-1.0986123
52,3,distributional,.30000001,1,4,3,5,Clippers,100,40,99,80,90,30,32,1,2,20,12,1.25,-.21309322
53,1,distributional,.5,4,5,4,5,Grizzlies,85,70,100,95,80,70,29,1,2,50,10,.5,.19415602
53,2,distributional,.75,4,5,4,5,Grizzlies,85,70,100,95,80,70,29,1,2,50,10,.5,.13353139
53,3,distributional,.60000002,4,5,4,5,Grizzlies,85,70,100,95,80,70,29,1,2,50,10,.5,.051293295
54,1,distributional,.80000001,3,5,2,6,Grizzlies,92,62,100,89,82,65,28,1,2,30,5,1.5,.39465418
54,2,distributional,.25,3,5,2,6,Clippers,92,62,100,89,82,65,28,1,2,30,5,1.5,-.23233198
54,3,distributional,.64999998,3,5,2,6,Grizzlies,92,62,100,89,82,65,28,1,2,30,5,1.5,.11653382
55,1,singular,.2,5,3,2,4,Clippers,90,40,100,85,83,34,27,1,4,30,10,0,-.81093019
55,2,singular,.30000001,5,3,2,4,Clippers,90,40,100,85,83,34,27,1,4,30,10,0,-.89248008
55,3,singular,.64999998,5,3,2,4,Grizzlies,90,40,100,85,83,34,27,1,4,30,10,0,.16251893
56,1,distributional,.2,3,5,2,4,Clippers,100,20,80,80,76,60,26,1,1,10,2,1,-1.6094379
56,2,distributional,.25,3,5,2,4,Clippers,100,20,80,80,76,60,26,1,1,10,2,1,-.23638877
56,3,distributional,.5,3,5,2,4,Clippers,100,20,80,80,76,60,26,1,1,10,2,1,0
57,1,distributional,.31999999,3,6,5,7,Clippers,85,45,100,85,65,25,26,1,5,65,30,1.25,-.63598877
57,2,distributional,.28,3,6,5,7,Clippers,85,45,100,85,65,25,26,1,5,65,30,1.25,-.95551145
57,3,distributional,.34999999,3,6,5,7,Clippers,85,45,100,85,65,25,26,1,5,65,30,1.25,-.16251893
58,1,distributional,.34999999,3,4,5,4,Clippers,80,40,100,85,77,47,,1,2,25,2,0,-.69314718
58,2,distributional,.52999997,3,4,5,4,Grizzlies,80,40,100,85,77,47,,1,2,25,2,0,.49365783
58,3,distributional,.57999998,3,4,5,4,Grizzlies,80,40,100,85,77,47,,1,2,25,2,0,.16251893
59,1,singular,.34999999,4,5,4,4,Clippers,85,40,100,70,50,40,35,1,2,10,10,.25,-.75377178
59,2,singular,.60000002,4,5,4,4,Grizzlies,85,40,100,70,50,40,35,1,2,10,10,.25,.22314355
59,3,singular,.60000002,4,5,4,4,Grizzlies,85,40,100,70,50,40,35,1,2,10,10,.25,.35667494
60,1,distributional,.5,5,4,5,6,Grizzlies,90,50,100,80,70,60,28,1,3,45,10,0,.58778667
60,2,distributional,.5,5,4,5,6,Clippers,90,50,100,80,70,60,28,1,3,45,10,0,-.15415068
60,3,distributional,.5,5,4,5,6,Grizzlies,90,50,100,80,70,60,28,1,3,45,10,0,.22314355
61,1,distributional,.5,4,5,2,6,Clippers,90,76,100,81,82,75,24,1,2,50,15,1.25,-.16907632
61,2,distributional,.5,4,5,2,6,Clippers,90,76,100,81,82,75,24,1,2,50,15,1.25,-.089231133
61,3,distributional,.333,4,5,2,6,Clippers,90,76,100,81,82,75,24,1,2,50,15,1.25,-.21072103
62,1,distributional,.55000001,6,5,5,5,Grizzlies,80,75,100,87,79,77,,1,3.5,40,20,-.25,.064538524
62,2,distributional,.5,6,5,5,5,Grizzlies,80,75,100,87,79,77,,1,3.5,40,20,-.25,.02564243
62,3,distributional,.44999999,6,5,5,5,Clippers,80,75,100,87,79,77,,1,3.5,40,20,-.25,-.13926207
63,1,distributional,.60000002,2,5,2,5,Grizzlies,90,50,100,75,75,50,42,1,3,42,12,1.5,.58778667
63,2,distributional,.5,2,5,2,5,Grizzlies,90,50,100,75,75,50,42,1,3,42,12,1.5,.4054651
63,3,distributional,.33000001,2,5,2,5,Clippers,90,50,100,75,75,50,42,1,3,42,12,1.5,-.28768209
