id,game,prob,extremity,upper,lower,p100,ea,focus,seed,outcome,pc,diff,brier,bin,Oj,resolution,reliability,outcomevar,screen1,screen2,screen3
2,13,.55000001,.050000012,.55000001,,0,3.2,1,7,1,1,.67333335,.20249999,5,.60317463,.010159365,.0028275396,.25005388,6,7,6
2,14,.30000001,.19999999,,.30000001,0,2.9000001,0,9,0,1,.56666666,.090000004,2,.27793697,.050375104,.00048677804,.25005388,6,7,6
2,15,.69999999,.19999999,.69999999,,0,,1,2,1,1,.86000001,.090000004,6,.67654324,.0303325,.00055021921,.25005388,6,7,6
2,16,.15000001,.34999999,,.15000001,0,,0,14,1,0,.19333333,.72249997,1,.19934641,.091829933,.0024350674,.25005388,6,7,6
2,17,.85000002,.35000002,.85000002,,0,,1,4,1,1,.80666667,.022499993,8,.82594937,.10469652,.00057843392,.25005388,6,7,6
2,18,.2,.30000001,,.2,0,,0,12,0,1,.81999999,.040000003,1,.19934641,.091829933,4.2718608e-07,.25005388,6,7,6
2,19,.80000001,.30000001,.80000001,,0,,0,11,1,1,.33333334,.039999995,7,.72098768,.047788899,.006242949,.25005388,6,7,6
2,20,.2,.30000001,,.2,0,,0,10,0,1,.73333335,.040000003,1,.19934641,.091829933,4.2718608e-07,.25005388,6,7,6
2,21,.44999999,.050000012,,.44999999,0,2.5999999,1,8,1,0,.56666666,.30250001,4,.46165413,.0016586743,.00013581895,.25005388,6,7,6
2,22,.89999998,.39999998,.89999998,,0,,1,1,1,1,.83333331,.010000004,8,.82594937,.10469652,.0054834923,.25005388,6,7,6
2,23,.30000001,.19999999,,.30000001,0,,0,15,0,1,.89999998,.090000004,2,.27793697,.050375104,.00048677804,.25005388,6,7,6
2,24,.25,.25,,.25,0,,1,3,0,1,.18666667,.0625,2,.27793697,.050375104,.00078047405,.25005388,6,7,6
2,25,.60000002,.10000002,.60000002,,0,,1,4,1,1,.85333335,.15999998,5,.60317463,.010159365,.000010078104,.25005388,6,7,6
2,26,.2,.30000001,,.2,0,,0,12,0,1,.86000001,.040000003,1,.19934641,.091829933,4.2718608e-07,.25005388,6,7,6
2,27,.60000002,.10000002,.60000002,,0,,1,7,0,0,.48666668,.36000001,5,.60317463,.010159365,.000010078104,.25005388,6,7,6
2,28,.34999999,.15000001,,.34999999,0,,1,8,1,0,.54000002,.42250001,3,.31976745,.033347692,.00091400702,.25005388,6,7,6
3,1,.55000001,.050000012,.55000001,,0,,1,1,1,1,.85333335,.20249999,5,.60317463,.010159365,.0028275396,.25005388,5,5,4
3,2,.050000001,.44999999,,.050000001,0,,0,15,0,1,.88666666,.0025000002,0,.17948718,.10426039,.01676693,.25005388,5,5,4
